0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.7%,34.3%,27.5%,37.5%,0.000%,Riverside,2021-04-08,2021-04-07,2021-04-08 16:39:35
0.7%,38.6%,26.6%,34.2%,0.000%,Sacramento,2021-04-08,2021-04-07,2021-04-08 16:39:38
0.4%,40.2%,27.4%,32.0%,0.000%,San Benito,2021-04-08,2021-04-07,2021-04-08 16:39:41
0.7%,38.6%,28.4%,32.3%,0.000%,San Bernardino,2021-04-08,2021-04-07,2021-04-08 16:39:44
0.6%,38.6%,24.5%,36.3%,0.000%,San Diego,2021-04-08,2021-04-07,2021-04-08 16:39:46
0.4%,47.0%,25.2%,27.4%,0.000%,San Francisco,2021-04-08,2021-04-07,2021-04-08 16:39:49
0.6%,37.8%,27.6%,34.0%,0.004%,San Joaquin,2021-04-08,2021-04-07,2021-04-08 16:39:52
0.4%,30.2%,23.7%,45.7%,0.000%,San Luis Obispo,2021-04-08,2021-04-07,2021-04-08 16:39:54
0.7%,40.0%,27.4%,31.9%,0.000%,San Mateo,2021-04-08,2021-04-07,2021-04-08 16:39:57
0.4%,37.9%,25.4%,36.3%,0.000%,Santa Barbara,2021-04-08,2021-04-07,2021-04-08 16:40:00
0.8%,40.3%,28.2%,30.8%,0.000%,Santa Clara,2021-04-08,2021-04-07,2021-04-08 16:40:03
0.6%,37.1%,26.5%,35.9%,0.000%,Santa Cruz,2021-04-08,2021-04-07,2021-04-08 16:40:05
0.4%,24.1%,24.9%,50.7%,0.000%,Shasta,2021-04-08,2021-04-07,2021-04-08 16:40:08
0.000%,23.6%,28.9%,47.5%,0.000%,Sierra,2021-04-08,2021-04-07,2021-04-08 16:40:11
0.5%,22.6%,24.6%,52.3%,0.000%,Siskiyou,2021-04-08,2021-04-07,2021-04-08 16:40:13
0.4%,35.4%,28.2%,36.0%,0.000%,Solano,2021-04-08,2021-04-07,2021-04-08 16:40:16
0.6%,34.4%,26.5%,38.6%,0.000%,Sonoma,2021-04-08,2021-04-07,2021-04-08 16:40:19
1.0%,37.7%,27.1%,34.2%,0.005%,Stanislaus,2021-04-08,2021-04-07,2021-04-08 16:40:22
0.2%,34.3%,27.4%,38.0%,0.000%,Sutter,2021-04-08,2021-04-07,2021-04-08 16:40:24
0.4%,25.0%,27.4%,47.2%,0.000%,Tehama,2021-04-08,2021-04-07,2021-04-08 16:40:27
0.1%,20.4%,24.7%,54.8%,0.000%,Trinity,2021-04-08,2021-04-07,2021-04-08 16:40:29
0.8%,42.9%,26.9%,29.4%,0.000%,Tulare,2021-04-08,2021-04-07,2021-04-08 16:40:32
0.4%,20.7%,26.1%,52.7%,0.000%,Tuolumne,2021-04-08,2021-04-07,2021-04-08 16:40:35
0.7%,36.3%,28.0%,35.0%,0.000%,Ventura,2021-04-08,2021-04-07,2021-04-08 16:40:38
0.7%,45.6%,24.4%,29.3%,0.000%,Yolo,2021-04-08,2021-04-07,2021-04-08 16:40:41
0.2%,32.4%,28.1%,39.3%,0.000%,Yuba,2021-04-08,2021-04-07,2021-04-08 16:40:43
