0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.4%,29.8%,23.4%,46.4%,0.000%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-08 01:04:27
0.7%,39.9%,27.0%,32.5%,0.000%,San Mateo,2021-04-07,2021-04-06,2021-04-08 01:04:30
0.4%,37.4%,24.8%,37.4%,0.000%,Santa Barbara,2021-04-07,2021-04-06,2021-04-08 01:04:33
0.7%,40.1%,27.5%,31.6%,0.000%,Santa Clara,2021-04-07,2021-04-06,2021-04-08 01:04:35
0.6%,37.0%,26.0%,36.4%,0.000%,Santa Cruz,2021-04-07,2021-04-06,2021-04-08 01:04:38
0.4%,24.0%,24.7%,51.0%,0.000%,Shasta,2021-04-07,2021-04-06,2021-04-08 01:04:41
0.000%,23.5%,29.0%,47.5%,0.000%,Sierra,2021-04-07,2021-04-06,2021-04-08 01:04:44
0.5%,22.6%,24.5%,52.5%,0.000%,Siskiyou,2021-04-07,2021-04-06,2021-04-08 01:04:46
0.4%,35.2%,28.0%,36.3%,0.000%,Solano,2021-04-07,2021-04-06,2021-04-08 01:04:49
0.5%,34.2%,26.0%,39.2%,0.000%,Sonoma,2021-04-07,2021-04-06,2021-04-08 01:04:52
1.0%,37.3%,27.2%,34.5%,0.005%,Stanislaus,2021-04-07,2021-04-06,2021-04-08 01:04:54
0.2%,33.9%,27.2%,38.6%,0.000%,Sutter,2021-04-07,2021-04-06,2021-04-08 01:04:57
0.3%,24.7%,27.0%,48.0%,0.000%,Tehama,2021-04-07,2021-04-06,2021-04-08 01:05:00
0.1%,20.3%,24.6%,55.0%,0.000%,Trinity,2021-04-07,2021-04-06,2021-04-08 01:05:03
0.8%,42.8%,26.8%,29.6%,0.000%,Tulare,2021-04-07,2021-04-06,2021-04-08 01:05:05
0.2%,20.4%,25.9%,53.5%,0.000%,Tuolumne,2021-04-07,2021-04-06,2021-04-08 01:05:08
0.7%,36.4%,27.4%,35.6%,0.000%,Ventura,2021-04-07,2021-04-06,2021-04-08 01:05:11
0.7%,45.4%,24.2%,29.8%,0.000%,Yolo,2021-04-07,2021-04-06,2021-04-08 01:05:13
0.2%,31.9%,27.9%,40.0%,0.000%,Yuba,2021-04-07,2021-04-06,2021-04-08 01:05:16
