0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,33.7%,27.0%,38.7%,0.000%,Riverside,2021-04-07,2021-04-06,2021-04-07 16:40:39
0.6%,38.1%,26.1%,35.2%,0.000%,Sacramento,2021-04-07,2021-04-06,2021-04-07 16:40:41
0.3%,40.0%,26.9%,32.8%,0.000%,San Benito,2021-04-07,2021-04-06,2021-04-07 16:40:44
0.6%,38.3%,27.9%,33.1%,0.000%,San Bernardino,2021-04-07,2021-04-06,2021-04-07 16:40:47
0.5%,38.2%,23.8%,37.4%,0.000%,San Diego,2021-04-07,2021-04-06,2021-04-07 16:40:49
0.4%,46.8%,24.9%,27.9%,0.000%,San Francisco,2021-04-07,2021-04-06,2021-04-07 16:40:53
0.6%,37.6%,27.1%,34.6%,0.004%,San Joaquin,2021-04-07,2021-04-06,2021-04-07 16:40:55
0.4%,29.4%,23.2%,47.0%,0.000%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-07 16:40:58
0.7%,39.8%,26.9%,32.6%,0.000%,San Mateo,2021-04-07,2021-04-06,2021-04-07 16:41:00
0.4%,36.7%,24.7%,38.2%,0.000%,Santa Barbara,2021-04-07,2021-04-06,2021-04-07 16:41:03
0.7%,40.0%,27.5%,31.8%,0.000%,Santa Clara,2021-04-07,2021-04-06,2021-04-07 16:41:06
0.5%,36.6%,26.0%,36.9%,0.000%,Santa Cruz,2021-04-07,2021-04-06,2021-04-07 16:41:08
0.3%,24.0%,24.5%,51.2%,0.000%,Shasta,2021-04-07,2021-04-06,2021-04-07 16:41:11
0.000%,21.3%,28.0%,50.7%,0.000%,Sierra,2021-04-07,2021-04-06,2021-04-07 16:41:14
0.4%,22.3%,23.9%,53.4%,0.000%,Siskiyou,2021-04-07,2021-04-06,2021-04-07 16:41:16
0.4%,35.1%,27.6%,36.8%,0.000%,Solano,2021-04-07,2021-04-06,2021-04-07 16:41:19
0.5%,34.1%,25.8%,39.6%,0.000%,Sonoma,2021-04-07,2021-04-06,2021-04-07 16:41:21
0.9%,37.1%,27.0%,35.0%,0.005%,Stanislaus,2021-04-07,2021-04-06,2021-04-07 16:41:24
0.2%,33.3%,27.0%,39.4%,0.000%,Sutter,2021-04-07,2021-04-06,2021-04-07 16:41:27
0.3%,25.1%,26.9%,47.7%,0.000%,Tehama,2021-04-07,2021-04-06,2021-04-07 16:41:29
0.1%,20.3%,24.5%,55.2%,0.000%,Trinity,2021-04-07,2021-04-06,2021-04-07 16:41:32
0.7%,42.6%,26.6%,30.0%,0.000%,Tulare,2021-04-07,2021-04-06,2021-04-07 16:41:34
0.1%,20.2%,25.8%,53.8%,0.000%,Tuolumne,2021-04-07,2021-04-06,2021-04-07 16:41:37
0.6%,36.2%,27.2%,36.0%,0.000%,Ventura,2021-04-07,2021-04-06,2021-04-07 16:41:39
0.7%,44.6%,24.3%,30.4%,0.000%,Yolo,2021-04-07,2021-04-06,2021-04-07 16:41:42
0.2%,31.6%,27.5%,40.8%,0.000%,Yuba,2021-04-07,2021-04-06,2021-04-07 16:41:44
