0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.1%,23.1%,26.5%,50.3%,0.000%,Lassen,2021-04-06,2021-04-05,2021-04-07 12:30:55
0.6%,42.4%,26.6%,30.4%,0.000%,Los Angeles,2021-04-06,2021-04-05,2021-04-07 12:30:58
0.4%,35.3%,26.2%,38.1%,0.000%,Madera,2021-04-06,2021-04-05,2021-04-07 12:31:00
1.2%,32.2%,28.3%,38.4%,0.000%,Marin,2021-04-06,2021-04-05,2021-04-07 12:31:03
0.2%,19.5%,25.4%,54.9%,0.02%,Mariposa,2021-04-06,2021-04-05,2021-04-07 12:31:06
0.6%,32.0%,24.4%,43.0%,0.000%,Mendocino,2021-04-06,2021-04-05,2021-04-07 12:31:08
0.6%,40.5%,25.9%,33.0%,0.000%,Merced,2021-04-06,2021-04-05,2021-04-07 12:31:11
0.1%,19.9%,26.3%,53.7%,0.000%,Modoc,2021-04-06,2021-04-01,2021-04-07 12:31:13
1.5%,45.5%,28.8%,24.2%,0.000%,Mono,2021-04-06,2021-04-05,2021-04-07 12:31:16
0.5%,42.0%,25.2%,32.4%,0.000%,Monterey,2021-04-06,2021-04-05,2021-04-07 12:31:18
0.4%,37.3%,24.8%,37.5%,0.000%,Napa,2021-04-06,2021-04-05,2021-04-07 12:31:21
0.6%,23.3%,23.5%,52.6%,0.000%,Nevada,2021-04-06,2021-04-05,2021-04-07 12:31:23
0.6%,39.1%,25.9%,34.3%,0.000%,Orange,2021-04-06,2021-04-05,2021-04-07 12:31:26
0.6%,29.0%,24.7%,45.8%,0.000%,Placer,2021-04-06,2021-04-05,2021-04-07 12:31:29
0.1%,20.4%,22.1%,57.4%,0.000%,Plumas,2021-04-06,2021-04-05,2021-04-07 12:31:31
0.5%,33.4%,26.7%,39.4%,0.000%,Riverside,2021-04-06,2021-04-05,2021-04-07 12:31:34
0.6%,38.0%,25.9%,35.6%,0.000%,Sacramento,2021-04-06,2021-04-05,2021-04-07 12:31:36
0.3%,39.9%,26.7%,33.0%,0.000%,San Benito,2021-04-06,2021-04-05,2021-04-07 12:31:39
0.6%,38.4%,27.4%,33.6%,0.000%,San Bernardino,2021-04-06,2021-04-05,2021-04-07 12:31:41
0.5%,38.1%,23.7%,37.6%,0.000%,San Diego,2021-04-06,2021-04-05,2021-04-07 12:31:44
0.4%,46.6%,24.7%,28.3%,0.000%,San Francisco,2021-04-06,2021-04-05,2021-04-07 12:31:46
0.6%,37.6%,27.0%,34.8%,0.004%,San Joaquin,2021-04-06,2021-04-05,2021-04-07 12:31:49
0.4%,29.3%,22.8%,47.5%,0.000%,San Luis Obispo,2021-04-06,2021-04-05,2021-04-07 12:31:51
0.7%,39.9%,26.2%,33.2%,0.000%,San Mateo,2021-04-06,2021-04-05,2021-04-07 12:31:54
0.4%,36.6%,24.4%,38.6%,0.000%,Santa Barbara,2021-04-06,2021-04-05,2021-04-07 12:31:57
0.7%,40.0%,26.8%,32.6%,0.000%,Santa Clara,2021-04-06,2021-04-05,2021-04-07 12:31:59
0.5%,36.7%,25.3%,37.5%,0.000%,Santa Cruz,2021-04-06,2021-04-05,2021-04-07 12:32:02
0.3%,24.0%,24.3%,51.4%,0.000%,Shasta,2021-04-06,2021-04-05,2021-04-07 12:32:04
0.000%,21.2%,28.0%,50.8%,0.000%,Sierra,2021-04-06,2021-04-05,2021-04-07 12:32:07
0.4%,22.3%,23.6%,53.7%,0.000%,Siskiyou,2021-04-06,2021-04-05,2021-04-07 12:32:09
0.4%,35.0%,27.5%,37.2%,0.000%,Solano,2021-04-06,2021-04-05,2021-04-07 12:32:12
0.5%,33.9%,25.5%,40.1%,0.000%,Sonoma,2021-04-06,2021-04-05,2021-04-07 12:32:14
0.9%,37.1%,26.8%,35.2%,0.005%,Stanislaus,2021-04-06,2021-04-05,2021-04-07 12:32:17
0.2%,33.2%,27.0%,39.6%,0.000%,Sutter,2021-04-06,2021-04-05,2021-04-07 12:32:19
0.3%,25.0%,26.9%,47.8%,0.000%,Tehama,2021-04-06,2021-04-05,2021-04-07 12:32:22
0.1%,20.2%,24.4%,55.4%,0.000%,Trinity,2021-04-06,2021-04-05,2021-04-07 12:32:24
0.7%,42.4%,26.6%,30.2%,0.000%,Tulare,2021-04-06,2021-04-05,2021-04-07 12:32:27
0.1%,20.2%,25.8%,53.9%,0.000%,Tuolumne,2021-04-06,2021-04-05,2021-04-07 12:32:29
0.6%,36.2%,26.7%,36.5%,0.000%,Ventura,2021-04-06,2021-04-05,2021-04-07 12:32:32
0.6%,44.4%,24.1%,30.8%,0.000%,Yolo,2021-04-06,2021-04-05,2021-04-07 12:32:34
0.2%,31.4%,27.3%,41.2%,0.000%,Yuba,2021-04-06,2021-04-05,2021-04-07 12:32:37
