0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.3%,39.8%,26.5%,33.3%,0.000%,San Benito,2021-04-05,2021-04-04,2021-04-06 02:43:05
0.6%,38.2%,27.2%,34.0%,0.000%,San Bernardino,2021-04-05,2021-04-04,2021-04-06 02:43:08
0.5%,38.0%,23.5%,38.0%,0.000%,San Diego,2021-04-05,2021-04-04,2021-04-06 02:43:10
0.4%,46.4%,24.4%,28.8%,0.000%,San Francisco,2021-04-05,2021-04-04,2021-04-06 02:43:13
0.6%,37.5%,26.8%,35.1%,0.004%,San Joaquin,2021-04-05,2021-04-04,2021-04-06 02:43:15
0.4%,29.1%,22.4%,48.1%,0.000%,San Luis Obispo,2021-04-05,2021-04-04,2021-04-06 02:43:18
0.7%,39.7%,25.9%,33.7%,0.000%,San Mateo,2021-04-05,2021-04-04,2021-04-06 02:43:20
0.4%,36.3%,23.9%,39.5%,0.000%,Santa Barbara,2021-04-05,2021-04-04,2021-04-06 02:43:23
0.6%,39.1%,25.7%,34.6%,0.005%,Santa Clara,2021-04-05,2021-04-04,2021-04-06 02:43:25
0.5%,36.8%,24.8%,38.0%,0.000%,Santa Cruz,2021-04-05,2021-04-04,2021-04-06 02:43:27
0.3%,24.0%,24.1%,51.6%,0.000%,Shasta,2021-04-05,2021-04-04,2021-04-06 02:43:30
0.000%,21.3%,27.9%,50.8%,0.000%,Sierra,2021-04-05,2021-04-02,2021-04-06 02:43:32
0.4%,22.2%,23.5%,53.9%,0.000%,Siskiyou,2021-04-05,2021-04-04,2021-04-06 02:43:35
0.4%,34.8%,27.3%,37.5%,0.000%,Solano,2021-04-05,2021-04-04,2021-04-06 02:43:37
0.5%,33.8%,25.2%,40.5%,0.000%,Sonoma,2021-04-05,2021-04-04,2021-04-06 02:43:39
0.8%,36.8%,26.7%,35.7%,0.005%,Stanislaus,2021-04-05,2021-04-04,2021-04-06 02:43:42
0.2%,33.1%,26.9%,39.8%,0.000%,Sutter,2021-04-05,2021-04-04,2021-04-06 02:43:44
0.3%,25.0%,26.7%,48.1%,0.000%,Tehama,2021-04-05,2021-04-03,2021-04-06 02:43:47
0.1%,20.4%,24.1%,55.5%,0.000%,Trinity,2021-04-05,2021-04-03,2021-04-06 02:43:49
0.7%,42.3%,26.5%,30.4%,0.000%,Tulare,2021-04-05,2021-04-04,2021-04-06 02:43:51
0.1%,19.8%,25.8%,54.3%,0.000%,Tuolumne,2021-04-05,2021-04-04,2021-04-06 02:43:54
0.6%,36.2%,26.2%,37.0%,0.000%,Ventura,2021-04-05,2021-04-04,2021-04-06 02:43:56
0.6%,44.3%,23.7%,31.3%,0.000%,Yolo,2021-04-05,2021-04-04,2021-04-06 02:43:59
0.2%,31.3%,27.0%,41.5%,0.000%,Yuba,2021-04-05,2021-04-04,2021-04-06 02:44:01
