0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
1.1%,32.1%,27.5%,39.3%,0.000%,Marin,2021-04-05,2021-04-04,2021-04-06 04:28:36
0.2%,19.4%,25.4%,55.0%,0.02%,Mariposa,2021-04-05,2021-04-03,2021-04-06 04:28:39
0.6%,32.0%,24.3%,43.1%,0.000%,Mendocino,2021-04-05,2021-04-04,2021-04-06 04:28:41
0.6%,40.2%,25.9%,33.3%,0.000%,Merced,2021-04-05,2021-04-04,2021-04-06 04:28:44
0.1%,19.8%,26.2%,53.9%,0.000%,Modoc,2021-04-05,2021-04-01,2021-04-06 04:28:46
1.5%,45.5%,28.8%,24.2%,0.000%,Mono,2021-04-05,2021-04-03,2021-04-06 04:28:49
0.4%,41.8%,25.1%,32.7%,0.000%,Monterey,2021-04-05,2021-04-04,2021-04-06 04:28:51
0.4%,37.2%,24.5%,37.8%,0.000%,Napa,2021-04-05,2021-04-04,2021-04-06 04:28:54
0.5%,22.9%,23.4%,53.1%,0.000%,Nevada,2021-04-05,2021-04-04,2021-04-06 04:28:56
0.6%,39.0%,25.7%,34.7%,0.000%,Orange,2021-04-05,2021-04-04,2021-04-06 04:28:59
0.6%,29.0%,24.2%,46.3%,0.000%,Placer,2021-04-05,2021-04-04,2021-04-06 04:29:01
0.1%,20.4%,22.0%,57.4%,0.000%,Plumas,2021-04-05,2021-04-04,2021-04-06 04:29:04
0.5%,33.2%,26.3%,40.0%,0.000%,Riverside,2021-04-05,2021-04-04,2021-04-06 04:29:07
0.6%,37.9%,25.6%,36.0%,0.000%,Sacramento,2021-04-05,2021-04-04,2021-04-06 04:29:09
0.3%,39.8%,26.5%,33.3%,0.000%,San Benito,2021-04-05,2021-04-04,2021-04-06 04:29:12
0.6%,38.2%,27.2%,34.0%,0.000%,San Bernardino,2021-04-05,2021-04-04,2021-04-06 04:29:15
0.5%,38.0%,23.5%,38.0%,0.000%,San Diego,2021-04-05,2021-04-04,2021-04-06 04:29:17
0.4%,46.4%,24.4%,28.8%,0.000%,San Francisco,2021-04-05,2021-04-04,2021-04-06 04:29:20
0.6%,37.5%,26.8%,35.1%,0.004%,San Joaquin,2021-04-05,2021-04-04,2021-04-06 04:29:22
0.4%,29.1%,22.4%,48.1%,0.000%,San Luis Obispo,2021-04-05,2021-04-04,2021-04-06 04:29:25
0.7%,39.7%,25.9%,33.7%,0.000%,San Mateo,2021-04-05,2021-04-04,2021-04-06 04:29:27
0.4%,36.3%,23.9%,39.5%,0.000%,Santa Barbara,2021-04-05,2021-04-04,2021-04-06 04:29:30
0.7%,39.9%,26.2%,33.3%,0.000%,Santa Clara,2021-04-05,2021-04-04,2021-04-06 04:29:33
0.5%,36.8%,24.8%,38.0%,0.000%,Santa Cruz,2021-04-05,2021-04-04,2021-04-06 04:29:36
0.3%,24.0%,24.1%,51.6%,0.000%,Shasta,2021-04-05,2021-04-04,2021-04-06 04:29:38
0.6%,39.1%,25.7%,34.6%,0.005%,Sierra,2021-04-05,2021-04-04,2021-04-06 04:29:41
0.4%,22.2%,23.5%,53.9%,0.000%,Siskiyou,2021-04-05,2021-04-04,2021-04-06 04:29:44
0.4%,34.8%,27.3%,37.5%,0.000%,Solano,2021-04-05,2021-04-04,2021-04-06 04:29:46
0.5%,33.8%,25.2%,40.5%,0.000%,Sonoma,2021-04-05,2021-04-04,2021-04-06 04:29:49
0.8%,36.8%,26.7%,35.7%,0.005%,Stanislaus,2021-04-05,2021-04-04,2021-04-06 04:29:52
0.2%,33.1%,26.9%,39.8%,0.000%,Sutter,2021-04-05,2021-04-04,2021-04-06 04:29:55
0.3%,25.0%,26.7%,48.1%,0.000%,Tehama,2021-04-05,2021-04-03,2021-04-06 04:29:57
0.1%,20.4%,24.1%,55.5%,0.000%,Trinity,2021-04-05,2021-04-03,2021-04-06 04:30:00
0.7%,42.3%,26.5%,30.4%,0.000%,Tulare,2021-04-05,2021-04-04,2021-04-06 04:30:03
0.1%,19.8%,25.8%,54.3%,0.000%,Tuolumne,2021-04-05,2021-04-04,2021-04-06 04:30:06
0.6%,36.2%,26.2%,37.0%,0.000%,Ventura,2021-04-05,2021-04-04,2021-04-06 04:30:08
0.6%,44.3%,23.7%,31.3%,0.000%,Yolo,2021-04-05,2021-04-04,2021-04-06 04:30:11
0.2%,31.3%,27.0%,41.5%,0.000%,Yuba,2021-04-05,2021-04-04,2021-04-06 04:30:13
